,Datetime,Text
41,2020-07-22 13:22:32+00:00,He can’t call her in jail so he’s trying to suck up to her in any way she can get the message 
42,2020-07-22 13:17:51+00:00,You ain’t gotta be in jail to be doing time..
43,2020-07-22 04:44:15+00:00,She does not belong in jail. She needs safe intervention and help in a compassionate setting.
44,2020-07-22 03:40:19+00:00,They all need to be in jail!
45,2020-07-22 00:43:32+00:00,"Trump says 'a lot of people in jail' after Portland protests, but few were charged "
46,2020-07-21 23:32:57+00:00,"If they did, they'd definitely be cutting my head off, because I ""use."" No apologies. Most evil is done by those trying to ""clean things up."" Do-gooders. They'll burn you at the stake. There's still people sitting in jail for smoking pot because of religious fears of intoxicants."
47,2020-07-21 23:13:38+00:00,“I can’t call you in jail but I just wanted to tweet and publicly beg you not to reveal my name”
48,2020-07-21 22:48:58+00:00,Confirmed by @BrandiKruse that this leaked email is in fact authentic. That would leave Seattle without a downtown county jail. 
49,2020-07-21 22:02:51+00:00,Put them in jail till their court date!
50,2020-07-21 21:01:03+00:00,thank goodness we made room in jail for all these traitors #covid19
51,2020-07-21 20:24:06+00:00,"I see white boys/girls in the ER weekly physically abusing/threatening to kill their parents. They never go to jail. So yes if you look at the statistic, race probably play a part in this decision."
52,2020-07-21 16:42:56+00:00,"Matt, it’s all about trying to stay out of jail for you, now, isn’t it? Too late."
53,2020-07-21 15:59:16+00:00,"I think it’s bullshit. Anyone who is still in jail for a weed charge, needs to be released and given back their life. I know the amount of time can never be replaced but they should be set free."
54,2020-07-21 15:31:05+00:00,Jail lolololo
55,2020-07-21 14:48:30+00:00,Who cares whether you watch or not. We still have a Constitution and unlike you patriots who kneel during the anthem still believe in it. You and your gestapo agents are headed out of here. We will restore this country and make her respected again when you're in jail.
56,2020-07-21 04:58:51+00:00,Get these rioters off the streets! If they cannot be peaceful protesters then they belong in jail.
57,2020-07-21 02:41:25+00:00,Please help put these domestic terrorist anarchist in jail. 
58,2020-07-21 02:22:27+00:00,rosarito til this day worse jail i was ever locked up in judge is just some dude in the back of a concrete building decides your fate right there in like 12 hrs
